Name,longitude,latitude,imageurl
Bronte Baths,151.269321,-33.90496776,https://oceanrockpools.com.au/wp-content/uploads/2025/11/bronte-baths-price.jpg
Avalon Rock Pool,151.3320911,-33.63735103,https://oceanrockpools.com.au/wp-content/uploads/2025/01/ocean-pool-Avalon.jpg
Bondi Iceburgs Pool,151.2745431,-33.89483968,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcScr06laDmXlo9tEhtyaOJSFZEDeIqm87-asQ&s
The Geoff James Pool (Clovelly Ocean Pool),151.2668671,-33.91392107,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQLkX93yBFrKihDB6afQutujZz6L92T2e_f0Q&s
Collaroy Rock Pool,151.3047282,-33.73347419,https://res.cloudinary.com/dsyg3kxa2/image/upload/v1/media/listings/licensed-image_hc1s2h
Giles Baths,151.2606107,-33.91977279,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRmUP_YgoA9oXqlX9iK52D1AwSIxWtmBGkztw&s
Ross Jones Memorial Pool (Coogee Beach Pool),151.257927,-33.92266671,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQqKqilL0Z9cDbdVuH7rDkrET9qvhrqlz92UA&s
McIvers Baths (Coogee Women's Pool),151.2596003,-33.92407385,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRMxwCssPnfOdaAPvG9MmfzoLqMZnnG1L6fEg&s
Wylie's Baths,151.2592609,-33.92557014,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ_6zT1m3zauQL_-4CbLtQRHjIRZobFSBvkUg&s
Cronulla Beach Rock Pool,151.1563843,-34.0523917,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR7pVXdhZSoma5jinH1pZD_gcA7qN_ysI9CsQ&s
Shelly Beach Pool,151.1559873,-34.06402174,https://media.timeout.com/images/105445572/image.jpg
Oak Park Rock Pool,151.1573962,-34.07041035,https://australiaunseen.com/cdn/shop/files/DJI_0568_small_0b5bb830-4257-4eb7-96a1-548ab7e6840a.jpg?v=1774498741&width=300
South Curl Curl Rock Pool,151.2936976,-33.77440165,https://oceanrockpools.com.au/wp-content/uploads/2023/12/South-Curl-Curl-Ocean-Pool.jpg
Dee Why Rock Pool,151.2993557,-33.75506845,https://australiaunseen.com/cdn/shop/files/Dee_Why_Rock_Pool_02_small_e915c48b-49d4-47ea-b01c-79f172580065.jpg?v=1749269496&width=300
Freshwater Rock Pool,151.2957525,-33.78147867,https://res.cloudinary.com/dsyg3kxa2/image/upload/v1/media/listings/2022-12-31_t1mpud
Little Bay Pool,151.2528808,-33.97976687,https://oceanpoolsnsw.net.au/wp-content/uploads/2017/11/PoolBest-8-600x450.jpg
Malabar Ocean Pool,151.2545417,-33.9684944,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSGFrpc_Gnj82XgLC8ZWHNtIR-cvT-Z01keWw&s
Fairy Bower Sea Pool,151.2950507,-33.8005913,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQXp38MuDaR2cXcOtOI2axeNiKW5CdMXvPwWg&s
Mahon Pool,151.2647232,-33.94086723,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRZAbZwldj80hF2SBHbTQE4SYg3qtYGeRQb0Q&s
South Maroubra Rock Pools,151.2588705,-33.95318421,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQqsvm2AP2onXA8OVjwEx5xMcvC00jACOqVHw&s
Mona Vale Rock Pool,151.3168337,-33.67850678,https://files.northernbeaches.nsw.gov.au/nbc-prod-files/images/recreational-areas/2017-05-08-14-09/mona-vale-rockpool.jpg
Newport Rock Pool,151.3287879,-33.64566738,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSCtRx1E7vkQTyDN5K7JIIcbYwF2mZ5yzjCtQ&s
North Bondi Children's Pool,151.2825497,-33.89101788,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTVDJb5sPOtHSOtSVuDRNQopLhaIoskDhpdmQ&s
North Curl Curl Rock Pool,151.3020208,-33.76734314,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRbAQp2kYkIHZHeKYbCFBehllPCjMZrPAIBPQ&s
North Narrabeen Rock Pool,151.349602,-33.67458827,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRLQ_M2EnVoXtKQT2u392DHxONF4LXC6vvZeQ&s
Palm Beach Rock Pool,151.329356,-33.5982499,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ60aipMt0eIfQ7a863ls0Rx9boc7u_88hZdg&s
Marrinawi Cove,151.2023173,-33.85526321,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR-kIYOmwyDTn87qpUBhrU9_0MBoQDd6SqWuQ&s
Ivo Rowe Pool,151.262132,-33.93321794,https://australiaunseen.com/cdn/shop/files/DJI_0584_small_81004935-c46c-4f1a-9e7d-1b439b023430.jpg?v=1749269495&width=300
Whale Beach Rock Pool,151.3323881,-33.61335838,https://files.northernbeaches.nsw.gov.au/nbc-prod-files/images/recreational-areas/2017-05-08-14-10/whale-beach.jpg
